id,question,question_concept,answerKey,Option_A,Option_B,Option_C,Option_D,Option_E
1feb4c2a0e8ed638259f5d27b16eae9a,Where does a wild bird usually live?,bird,C,cage,sky,countryside,desert,windowsill
846bc47ced7119ad2ee19a8780d7fe18,What will you put on a pen to prevent it from drying out?,pens,D,write sentences on paper,ink in,ink cartridges,caps,cling film
6e433471d0e2590b8c73ceef275022b1,James knew that he shouldn't have been buying beer for minors.  He didn't even get paid for it.  Why was this bad?,buying beer,D,lose money,fun,have no money,broken law,relaxation
3eb397b96b6c3a245c81ab30205943f1,Danny is having fun just dancing and singing with his friends. He wasn't concerned with things that weren't fun. For him having fun is the same as what?,having fun,C,injuries,smiling,being happy,glee,jump
6eb57102b44ab74163d8f9821cbdabd0,What type of demands to the unions need to be making to go off strike?,go off strike,A,reasonable,more money,not go to work,return to work,union
3c1800e7dd96d37fdd3c51b9fe502342,"james told his son to settle down and be careful.  There were many frogs mating in the area, and James didn't want his son to do what to them?",settle,D,wander,migrate,scare,disturb,agitate
6c70d98cfb8e97fda8caefcee761a229,Zane doesn't like answering questions.  He's not good at it because he suffers from what?,answering questions,D,panic,discussion,attention,confusion,satisfaction
e151b44e0a7bf08a1dd3c861eef09161,What may I place the telephone on?,telephone,C,bar,friend's house,desktop,party,office
985a4f1a3f31f1ba6654f4fc48f504df,To get clean clothes you to what to them?,clean clothes,D,get dirty,writing,use water,launder,soap
81f5e741d970578867495ceea5a0c848,When a group of people are talking at work they might be doing what?,talking,C,having a concert.,cough,sharing of ideas,speak,sneeze
29c194d032a266a7160bff6f546a4d9d,Where is one likely to find poker chips?,chips,D,supermarket,pantry,motherboard,bar,bar
7e522a60756f854c5331125f998bc36b,What kind of food makes someone sick?,food,D,boat,necessary to live,edible,unhealthy,kitchen
ea82f9e938cbfce85fb498ce46264253,What will a person do at work?,person,C,cross street,draw attention to themselves,make money,falling down,come home
2dd138a63b5895cf737ced793cc668e7,"If you take the risk buying a used car, you still hope it can what?",car,E,go fast,start running,going too fast,look good,last several years
f7140f00ddd8d1c5d93b05ea32ad1fff,"Many people wanted to leave their country estates for row houses, what did they need to move to?",row house,D,living less expensively,england,prison,city,town
6b270159bd402ddd498a38153f9d1efe,"The rats were hiding in the house, where were they?",rats,E,sewers,laboratory,basement,clinic,cellar
67beae081a9b5ef56988f205f80cf129,If you're a child answering questions and an adult is asking them that adult is doing what?,answering questions,C,discussion,explaning,teaching,confusion,correct
d1d2585e0ba1160948b7c5822a99b7a1,Where would you buy food?,food,B,freezer,store,home,hatred,kitchen
b7ab4a5e0c19a98f41cd1ba3176f2dff,The department to where vendors deliver goods for sale is called what?,deliver,C,delivered,take away,receiving,pick up,keep
de0386024f32cdf277a785a851b97544,Where could a personal ficus live?,ficus,C,cabin in the woods,california,front yard,conservatory,tropical forest
adbddc80b10bf25f09c6c2bee4e3c59b,"Where can you buy a clock, clothing and wrenches?",clock,E,counter,train station,school room,desk,department store
2729d8502208c25d8e9293cd4e8ecbb5,What can disease destroy?,disease,C,rug,third world country,human body,hospital,building
78d1218aeff70a70904767349e3c4c53,Brawn opened the curtains so that the sun could do what?,sun,C,dry clothes,warm house,warm room,shine brightly,get dark
dea70fe40fac9ad03bf319bf8a480efa,What happens when airplane engines cut off and are unable to be restarted in flight?,airplanes,D,stall,start melting,taxi,crash,speed up
cf02cca40a47c2deefd8b2e5a5ff2f70,She wanted a kitten and puppy so why did she only get the puppy?,puppy,A,one choice for pet,cute,kennel,soft,waxy
ab8bf60f76bc6119459271140ccae781,"Before lifting weights he liked to warm up on the squash court, he really enjoyed the facilities of the what?",squash court,D,swimming pool,rich person's house,country club,fitness center,park
5279a2ea333ba8a5bf3a7637a7279da1,Batman bought beer.  There were no bottles available.  He had to settle for what?.,beer,D,shelf,soccer game,keg,can,refrigerator
0611dfbf5114084723d75f59b4f67412,What do you use to carry your briefcase?,briefcase,E,office building,school,courtroom,airport,hand
b3dc6d6a5e2f9d7da8eb72816c80b3f8_1,"The goal was to hit the target, but a projectile ball can't hit anything if it isn't in what?",projectile ball,A,motion,ocean,flintlock,arcade,tennis court
b8b287b6277fccd4b7c9c72577177328,Where could you find a toilet that only friends can use?,toilet,D,rest area,school,stadium,apartment,hospital
ede4d302fc2ffe07703158f83c1493f2,"If there is a place that is hot and arid, what could it be?",hot,B,bland,lifeless,sandy,neutral,freezing
536c9af0fae0aa75b32874dfcac66353,Where would you find an office worker gossiping with their colleagues?,person,A,water cooler,space shuttle,baby shower,bus stop,family
cdd3d074031fbd3efeb4f9408abef04e,What very cold area in the east can a crab be found?,crab,C,fish market,shallow waters,atlantic ocean,fresh water,shore line
ed50555f8db2b8f66caf9868dcd7e13b,"No matter what date you put on it, we all know the universe to be what?",universe,A,very old,infiniverse,getting younger,infinite,real
5a7f6fd97b2c9ad05f773bc8b2ecf441,How can a human cross a river and not mess up their hair?,river,D,wisconsin,waterfall,hatred,bridge,valley
4f23829b96b38b5633ecc3325281726d,John rode on the plain until it reached the ocean and couldn't go any farther. What might he have bee on?,plain,D,mountain,fancy,sandplain,cliff,gorge
beef0aa2058297904bb4acc1dc340c85,When is the worst time for having food?,having food,B,digesting,not hungry,gas,weight gain,feeling of fullness
b42ef8be1748c19fa5938de5396f8fad,"The man started to learn jogging, what was he hoping to do?",jogging,B,exhaustion,getting in shape,fitness,injure himself,fatigue
7bc1198664b376f79d584725ad7f874b,What is likely to be found in a book that is not a foreword?,foreword,E,last word,conclusion,ikea instructions,afterword,epilogue
d0bda97a087904320216e4d0b8a08a8d,"The man was giving assistance to a pan handler in the streets, how did he give assistance?",giving assistance,D,feeling good,killing,law suits,out of pocket,feel loved
eb0e0c4eaf19c1e9b4df3b4d3a11be3d,Many towns and cities have trash cans where on sidewalks?,trash can,C,hospital,park,corner,motel,office
435a728f45d32faa4b3c4553c966fd6b,"If I was getting drunk, and people couldn't understand me, what might I be having?",getting drunk,B,a seizure,slurred speech,death,forgetfulness,pass out
b4f79ca5f3595248ee25292ab60ad105,"At the end of the day as he began to eat he paused and thanked her, it wasn't often she would what?",eat,A,cook dinner,did chores,make food,stretch out,get food
d581e0ad6a4c89465dc1a527bd2d3f77,"Though she had a disability, what did her encouraging and positive coach see in her?",disability,E,qualification,strength,pity,competence,potential
8058c566a4f488033d00e6520b17caea,"John was not happy with his marriage. He and his wife drifted apart.     All and all, recent turns could be described as what?",happy,D,inappropriate,sadness,unsatisfied,unfortunate,disenchanted
5ac83e9e6fa9851ad3cccb0d57c1d88f,What would encourage someone to continue playing tennis?,playing tennis,E,becoming tired,tennis elbow,exercise,hunger,victory
e3c9e83c0c62d842de2dfe229f5e6d41,What happens someone who is bad play poker?,play poker,E,think,ante up,drink,win money,losing money
7ec11eeca4221795c117943ca2639e86,Colorful anemone look somewhat like what object you find on window sills?,anemone,D,intertidal zone,coral sea,under water,flower bed,florida keys
b47d912136e3304cb5e5890b6b879551,Talking to the same person about the same thing over and over again is something someone can what?,talking to,D,social life,friendship,eye contact,get tired of,learn lessons from
5b8a3081c3235d62bc77e2d15f3ad454,A town between two mountains is located in a what?,town,A,valley,hospital,state,train station,michigan
866ef7266d34c11e5a1b3df49fab96a4,Joe and Jill didn't want their children to be sedentary.  They might limit the time they children spend doing what?,children,D,play sports,throw things,reading,watch tv,play with toys
950af0b765c298960ce3dada66df8db1,"The freeway had no traffic and few buildings, where is it?",freeway,B,california,countryside,big town,florida,america
042898e0c71adac5d123aaa6221c9754,Where is likely to not just have a kosher restaurant?,kosher restaurant,D,jerusalem,jewish neighborhoods,dining in,new york city,dining
533599262a5dae7c7137cfe69e0e24fb,"There was a long cottage somewhere.  People thought it was haunted.  It was overgrown, there was nothing near it.  It's was far into the what?",cottage,B,mountains,countryside,train,painting,village
fff554fffa1a0adc64b8d1e21d55534b,John didn't care about style.  He felt that form was less important than what?,form,C,shapeless,quality,function,change shape,chaos
eaf980db7e945b1cf6d648fa55ddcb5e,What is the feeling of one having fun?,having fun,B,smiling,pleasure,hurt,injuries,laughter
c96a86957a9ab1d8ca0aeeb7f040d87a_1,"There were times where kids wanted to know a definition, so there was a nice big dictionary in the what?",dictionary,B,pocket,classroom,table,library,shelf
1a4e83b433620cb2d7d806882f8d57e4,What is it called when a person with mental illness is able to lead a relatively normal life?,mental illness,A,managed,effectively treated,recur,cause delusion,illusion
a617eb4d27edea93e7fd630ce00c8219,If you want to kill someone you can do what to them with a gun?,kill,C,sip through,damnation,shoot,commit crime,eat breakfast
d725f1c2e150a3221de31612123f3f46,What do you do when you're going to market?,going to market,A,buy food,see other people,buying vegetables,buy a fat pig,traveling
3e536d9253bfac45de83e8ee291ca143,Where might it be hard to get furniture to?,furniture,B,apartment,loft,store,rug,stairs
95a85df48902d23eb3fda25a99fca1a0,What is it called when two people in love have children?,love,B,take oath,procreate,matrimony,please parents,live life
6b1f5ebd9d0dbc7e34a598456a6091a8,It's dangerous to let pet birds free so it's better to keep them what?,free,C,slavery,caught,caged in,topfree,prisoner
4499ebd5e8188b0d5fdef6afd893017a,"I took my seat, the curtains drew back and I enjoyed the what?",seat,E,airplane,movie,auditorium,theatre,show
19dfd55e967dacd6f5700a62c1e14eee,What type of store would have lots of sports equipment?,sports equipment,D,mall,office supply store,school,sporting goods store,sporting event
41fac392c6a5827c1b6682d5d3798e59,"John was my neighbor, it was easy to talk to him. He was never what?",neighbour,B,away,distant,remote person,bore,foe
dbdad44029098d4b1d202d6d857d6092,Where are you likely to set papers while working on them?,papers,A,table,meeting,drawer,toilet,garage
8272f08792b873885f93d4c148e307e5,The water in clouds turn in to what when it gets cold?,water,B,typhoon,snowflake,laddle,teardrops,sink
dc964e4f6df6b70815e81e466d0ff717,If you jump in any of the oceans you will get?,oceans,B,tanned,wet,wide,very deep,fish
a15d564d0be6996251b5d523ac62db2a,Why is it hard for a young child to read a long book?,book,E,knowledge,cover,no pictures,past,many words
7bb279e38a1c9eb47a0c7af979a131a2,What is a tactic used to interfere with learning about science?,learning about science,D,repetition,sense of wonder,accidents,intimidation,increased knowledge
7bff23f6c12e9136f0961514bebb8cd3,If you aren't well rested and it's a rainy day what might you do?,rainy day,D,sleep,write,make bread,stay in bed,enjoy film
99e0b2ddf88ebed98b977043b7c2331b,John wanted scatter his wife's remains in a lake in the wilderness.  He had to delay before of where he lived.  Where did he live?,lake,E,mountains,dead body,pay debts,state park,new york
5bba03b425f5abc6e017f194cf074b06,Many homes in this country are built around a courtyard. Where is it?,courtyard,B,candidate,spain,lawn,asshole,office complex
ec882fc3a9bfaeae2a26fe31c2ef2c07,Where did you meet your best friend since Kindergarten?,friends,B,friend's house,school,fraternity house,internet cafe,airplane
8bbfe8cd056d612e9d3190f278bef287,"If I keep getting crumbs under my table, what should I put under it?",table,C,conference,neighbor's house,rug,net,card room
46351b3a6beb694c5f623583a3b1473d,What language type is someone from Iran likely to use?,light source,B,books,dard,sky,closed room,television
6386bcf080633bc3eeb3317a5435b7b7,The gimmicky low brow TV show was about animals when they what?,animals,E,sick,mammals,males,bite,attack
24ceaf5c10863e73919b5f1b0f2db38e,"I'm having some food at my party, what will I need to serve it?",food,E,zoo,pan,bowl,kitchen,spoon
b4cde6a56fb19afc84876ebf2fb9e71a,Where would you find a toy soldier that is being played with?,toy soldier,C,toy box,movies,child's hand,toybos,child park
ac6378b5e8462dc1bde1155d706213d8,What is likely to have a better school cafeteria?,school cafeteria,C,high school,canteen,polytechnic,large room,all kinds of schools
ec86900559a0faf2aef066e511a4cfa6,what do you fill with ink to write?,ink,B,squid,fountain pen,pencil case,newspaper,printer
912676495cceefadccbbf8c604486f97,What very large group of western citizens has bees everywhere?,bee,A,united states,space station,trash can,field of flowers,bouquet of flowers
9c596382ea15768f95b5ef9ceec191dc,"The bell rang, and the congregation began to what in to the church?",bell,C,run away,wind instrument,funnel,blunderbuss,associated with telephones
f4bb8ecacb9ce89e040f5f76bc79afb3,How can people fulfill their own calorie requirements?,people,B,compete with each other,feed themselves,feel lonely,talk to each other,ask a doctor
315baf79f8dd3673f67a90de0758240e,Where is the control room that controls a PWR located?,control room,E,building,factory,window,prison,nuclear power plant
26bd85f05d29863ed777a4f1a4b8fa63,What would you need if you want to smoke?,smoke,D,you're stupid,kill yourself,roll joint,cigarette,lighter fluid.
80930e9df9ac4ad752749a54e7fc124f_1,I house outside the center of a community is said to be where?,house,B,city,subdivision,newspaper,residential area,street
60e8f1a86d4063895f340cd1e3c55f50,What is likely to happen to someone who is learning?,learning,C,overconfidence,effectiveness,knowing more,head grows larger,growth
1ab746bcd100ccf513055fe93c61010b,"The tourist entered Mammoth cave, what state were they in?",cave,B,west virginia,kentucky,rocky hills,scotland,canyon
fb35c7aa5694bab2cde4b7257bfae003,What kind of status is the bald eagle given?,bald eagle,C,outside,world,protection,colorado,america
07b51b231a9d6a143d8a73e69121e1b1,What is the best way to begin going into trance?,going into trance,B,religious experience,closed eyes,loss of control,sleep,hallucination
e145618c2062eb9ea8928fdb0d42185e,Where would I not want a fox?,fox,A,hen house,english hunt,mountains,outside bedroom window,england
26ce83b8e9a263079aa8cdbd5258d667,"The man tried to reply to the woman, but he had difficulty keeping track of conversations that he didn't do what to?",reply,A,initiate,ignore,question,answer,ask
30e66db11e0257a14a17108b90cd69fb,"Jan tested the current, and noticed that it was high.  He thought that the wires might have too much what?",current,D,later,updated,still,resistance,now
80c19c62338edae0e8a1f5c6fec0d29a,Where is food likely to stay dry?,food,B,etna,cupboard,oven,stomach,fridge
24eebfa678112100803da16dde148b2d,Where would you put a container can after you buy it?,container can,E,pantry,store,gas,liquid,garage
4c968fa73699a38639ba3ffa1745bc21,What event might one buy tickets for seats?,seats,B,park,show,auditorium,movies,rest area
c410a4626dfce4b4cfd3e5937602cd77,"After recovering from the disease, what did the doctor call the patient?",disease,A,healthy,passing around,cure,wellness,healthy
715583129369c0c5c9f499c93a1c095e,The potato might be the official vegetable of what?,potato,E,vegans,kitchen cupboard,restaurants,chicken,maryland
1db19a32a3edbff9981976dc9ec800ce,"If a small flying animal picks up a string, where are they taking it?",string,A,bird's nest,park,guitar,kite,quark
b231a732a3fdf0621391e7e385f8d651,"The child was getting many gifts for his birthday, his father reminded him to do what after opening each one?",getting,D,show appreciation,asking for,exchanging,say thank,smile
42c46e28baf0fc617a07419286178c0a,You can find a monkey in what West African region on the Gulf of Guinea,monkey,E,south american country,rain forest,pay debts,works,nigeria
31bd05ba62a16ee35217224b98c6baea,What is a person likely to experience after they stop being married to a mean person?,stopping being married to,C,isolation,grief,happiness,relief,angry
bcc5dd6292a64d8fa17cd07c360b335d,"The player lifted his cornet and walked in rhythm, what was the player a member of?",cornet,C,museum,high school band,marching band,orchestra,band
e4976ee741cf4b28b8a42780ffb15774,What is made up of people?,people,B,buildings,audience,apartment,classroom,falling down
952cf4b2f7a434b2eeae9f4c7ed89c0a,They were hoping their campaign would create a rise in awareness of the problem and hopefully do what to its effect?,rise,E,set,fall,park,descend,reduce
487cabfcd776d89748ee7e7bb681ad59,Why do young people swallow semen ?,swallow semen,C,you're into,prostitute,you're curious,curiosity,heterosexual woman in love
0e6a005eec5e6746f3facf4d608bfd8b,A story about World War II would be set when?,story,D,book or library,book or magazine,newspaper,past,future
83dad4fe630fddbdcd5b18ef890c66f2,What is the likely result of buying products in excess?,buying products,E,running out of money,spending money,poverty,comparison shopping,overstocking
ec5a336080e37fbe95d72ad5f9c65ba7,If a person with mental illness stops treatment what will likely happen?,mental illness,C,managed,dancing,recur,effectively treated,cause suffering
d910859b9d1acae40456dbeaa8334bc0,"James slamed into someone playing football, and not for the first time.  He was concerned about the consequences of many what?",playing football,C,exhilaration,interactions,head injuries,death,having fun
e5ebbe0ea4097bb197ac525b49108362,what is printed with ink and distributed daily?,ink,C,fountain pen,squid,newspaper,book,printer
81e016974d33fe383c848b6c819791cd,For what entity should the government work?,government,A,country,democracy,canada,civilization,tax office
66275550d64d16339c944e6a6d63eb5b,What attraction is sometimes so large that you need a map to find your way around?,map,A,amusement park,truck stop,mcdonalds,backpack,classroom
449de58e919975867255218484a9fc89,"If you want to learn about the world and understand the real reasons behind cultural norms and mores, you have achieved a sense of what?",learning about world,A,enlightenment,open mind,confusion,smartness,anger
159d50e325b59c6d29ec371500e173b4,What is a form of anaerobic exercising?,exercising,E,shortness of breath,lift weights,error,fall down,run
eb6807290df71b040e2c7bcc5d11fdea,"If a person stutters when he experiences anxiety or excitement, he'll have difficult doing what?",excitement,A,express information,dance,library,go somewhere,study
f8a2cbc7189b92a809ce9cd857030621,Stabbing to death of a person is what sort of way to die?,stabbing to death,B,pool of blood,gruesome,charming,being arrested,killing
cf33e0f5891ce53a716432be06a46ee1,What would be happening if you are pretending to be a police officer?,pretending,C,fighting,misunderstanding,deception,play,distrust
76b6f0765a3b2fba71021f902142edc0,Why would you be watching tv instead of doing something else?,watching tv,C,headache,laughter,laziness,erections,wasting time
8d3dc21a53523850ec80771daaa5ff20,James wanted to find an old underground map from the 50s.  Where might he look for one?,underground map,A,library,subway station,county engineer's office,super market,home
cef855ec07c66a731741026c2839b0d3,"The student explained he had a clue what neuroepithelium was and got really nervous, he then lost his balance because a what issue?",neuroepithelium,C,tastebud,retina,inner ear,nasal cavity,autistic
56d0fc282a144565f2c852415c6fa92c,What does a person often feel about someone judging them guilty?,judging,C,controversy,responsibility,resentment,judge feelings,hurt feelings
3957ac6bab96fc9d4f173ada4692d16b,What do people do when they think too quickly?,people,A,jump to conclusions,hurry home,build trust,pay bills,sing
1a8fbab20bbdf0bbf3961894662d5f7c,"You have to a lot of thinking while studying a new subject, but it is how you gain what?",thinking,E,fatigue,depression,best way,weight,knowledge
8c8052980e357545398d27d1c3c832d8,What has a shelf that does not allow you to see what is inside of it?,shelf,A,chest of drawers,stove,hold alcohol,bookcase,grocery store
8086f022f2d4a4888ae1f8c7e4541ab9,How can someone die from eating hamburger?,eating hamburger,C,gas,getting full,mad cow disease,death,feel full
27f2074270ea8a5e8f5ec2a017ec4a50,"Dan was a farmer with just one heifer.  But that was okay, he only kept her for milk, and he didn't think he'd find good farmland in a place as cold as where?",heifer,C,arizona,farm yard,michigan,german field,dairy farm
8b23cd355ffc8b6e7aa5459ffb21b4e0,Where is a dining area likely to be small?,dining area,B,cruise ship,home,mall,restaurant,dark cave
aa7c4c351cf8d59792aa68e3de339db4,Christians believe you will go to heaven if you're what?,dying,B,unable to work,born again,change of color,dead,no longer exist
aa984e2b487d08889bc0c73bab5ac945,If someone laughs after surprising them they have a good sense of what?,surprising,D,joy,fight,frightened,humor,laughter
3b9ccdcb1c932c46a38e040d3e6c7f5b,A statue that shoots liquid is called a what?,statue,A,water fountain,large city,museum,pool,central park
e53ba4c7d2a818bdb6001e6924bc8896,What do the terms need to be in order to compete against someone?,compete against,B,cheat,fair,in competition,practice,sabotage
44120a9443c619d98ce5bfe4bb219c43,Where are traveling clothes often kept?,clothes,A,suitcase,bedroom,closet,draws,dresser
cebc07bd5080cc72862cb333b10d782d,"Joe is a  squirrel, which is an animal. He probably lives in what sort of place.",animal,C,pet store,outside,woodland,ocean,cafe
790b3f583e9bc9424c771691ecc70c20,Where can you buy a two wheel transportation machine?,wheel,D,boat,michigan,train station,bicycle shop,trunk of car
520b0eea9148e3cb4d45aa69a55491eb,What kind of cold storage could you find in your house?,cold storage,E,ice pack,freezer,laboratory,warehouse,refrigerator
3fdc0c422c524c994b9911a17f1f1834,"A showroom feature washers and refrigerators, where is this showroom located?",showroom,A,appliance store,vegas,electronics store,car dealership,kitchen
c7526b682e64f355384631b35cd78fc9,Dan fell off a bar stool.  He did this because he was what than ever before?,bar stool,B,kitchen,drunker,tavern,restaurant,shorter
3c90a632f46aeab11fbb73aa59a33892,What is something children can do while traveling in a car?,children,A,listen to music,watch television,play chess,walk,play basketball
57f92025d860e32c4e780c0d51c1c20c,What would vinyl be an odd thing to replace?,vinyl,E,pants,record albums,record store,cheese,wallpaper
6bc3ebcfd04965c25bde71339955746c,What is the purpose of playing games for children?,playing games,B,winning,learning,losing,fatigue,skill
3f4b48708d08f8bf7bec796531023f9c,"Billy was reading the newspaper as he commuted to work, but once he got to his destination he balled it up and put it somewhere. Where did it put it?",newspaper,A,trash,floor,subway,ground,lawn
c82ed0c2a2e115452b4d596c5faafbcf,What is a treat that you dog will enjoy?,dog,D,salad,petted,affection,bone,lots of attention
74ad13a03634e79c85382f1b90969b74,What is likely to satisfy someone's curiosity?,curiosity,A,hear news,read book,see favorite show,comedy show,go somewhere
a90f9197a13c64089c9ba95bcba275ad,All the power tools like the drill used for fixing cars made for a very loud workplace where?,drill,D,basement,work shop,tool shed,repair shop,store room
7d937233b4a9043da0b976dbd42d141b,What is a possible outcome for committing murder?,committing murder,D,problems,incarceration,trial,imprisonment,prosecution
7ea57ee4580042b0a6a40479c8ace3e4,What does a person from Avalon live in?,person,C,pain,meaningful work,english house,cotton candy,headache
506c2dbfe7b00a82bfdf0507a8de88fb,Who is not famous for a superhighway with no speed limit?,superhighway,E,europe,germany,industrialized country,city,america
59eb56f366407ac7db72996be265883b,Joe owned back taxes as well as what other type of taxes?,back,E,anterior,front,main,front,current
e75e0c11e2d5a7b634455a1b4b76856c,What would be necessary for getting in shape?,getting in shape,B,good health,exercise,muscle tone,sweat,feel better
6a29b657b29e1506284d8328dffbbd21,If you have a child who gets in trouble for being hyperactive you may need to teach them how to what down?,trouble,B,park,calm,being good,good behavior,safe
6efaeb796307036719635242fa5ad0f3,When someone is physically competing what does their body do?,competing,E,tension,perform better,releases heat,winning or losing,sweat
17d9bfaee1efac51b1ca240125bc5977,What does a self assured person often do?,person,D,acknowledgment,focused,know what time,feel important,trust himself
d47986deb91d64b2b15d385da3d2f483,"The pitcher stepped on the mound ready to throw, where was he located specifically?",mound,E,hell,baseball stadium,golf course,africa,baseball diamond
d6bb990e8c409d2b3af37a2da198e01f,Kramer wrote a self-referential book.  What might that book be about?,book,B,counter,coffee table,school room,backpack,bedside table
e63a210053cf7f961ca0b5a7e6eb355d,The end of the barrel of what primitive firearm is bell shaped?,bell,C,barbell,funnel,blunderbuss,wind instrument,kettlebell
b5baf77d3855935c87f01f5fb2216667,"If a person were going to bed, what would be their goal?",going to bed,D,lazy,insomnia,rest,falling asleep,dreaming of
273d0134e8ce53d4ebcf41ca7fde02af,Where could you find hundreds of thousands of home?,home,D,field,neighborhood,star can,city or town,apartment building
f11a2975898033893d6a38f75d791fdf,What can machines do that humans cannot?,machines,E,fail to work,perform work,answering questions,see work,fly
029e36d8f65982b142c319064dc5e32f,What are people likely to do when an unexpected decent outcome occurs?,people,B,kill each other,thank god,experience pain,hatred,talk to each other
a2cd03ed068f6d613e85f3a60f4db0a1,"The traveling business man was glad his credit card had perks, it offset the high prices for travel from a what?",high prices,C,car,theatre,airport,hotel,disneyland
d6ff2d749494d89e9c7a53f587c519f4,"The couple explained they were having trouble communicating, it seemed every conversation took great what?",communicating,B,thinking,effort,laugh,force,medium
ad769851a59375865607452d3bf2a45d,Why does someone want to examine thing closely?,examine thing,B,buy,learn about,buy,complex,interesting
