id,context,question,answer0,answer1,answer2,answer3,label
3XEDXEGFX3M8UVA5NNL41RNMWXZ0KJ##3JCG6DTRV4OLFBBT7T5I13M1LJZQQX##A1OPGPTQJ48XOY##Blog_271330##q1_a1##3OB6JN3A9S36E2TEMATZSY4LN1ZMR8,"Pretty damn sweet for a little Camera . I ' m excited about it and totally just wanna go play with it ! I got a spare battery , and 4gig card too . Man speaking of cards , I can not believe how cheap memory cards are these days ... a 4gig SD card is like $ 17 .. that 's insane !",How do you feel about the cost of memory cards now versus a few years ago ?,I remember paying about the same as what I do now for memory cards,Cards are much cheaper now than I remember they were in the past,None of the above choices .,I think memory cards now are more expensive than they were in the past but money goes a little further now than it did back then,1
3LVTFB9DE7W6ARISYS64A3AJVO0QG8##34MAJL3QP721EUH0VIY9DQGUMIJ430##A2KYOM2ZGYDJGT##Blog_894875##q1_a1##3R5OYNIC2ENPFK3JIFQM9HZYG0FTPE,"As far as life in school is concerned , we are all treated equally , whether you are an athlete , a celebrity or just a regular student . We athletes just get a little bit of extra , that is our training . Its not really easy being an athlete though most of the times its fun .",What 's a possible reason it 's not really easy being an athlete ?,Because most of the time it 's fun .,Because it requires a lot of time and energy .,Because they are celebrities or just regular students .,None of the above choices .,1
3JHB4BPSFK7C1SWD0OOUQO0OY9HQ9D##3DQQ64TANHJ5ZW60JPPZTNED52APWI##A2LTOS0AZ3B28A##Blog_620557##q1_a1##35JDMRECC6NHDOSNP1B4GML5CT3EGR,"No amount of spiritual guidance , counseling , friends or family would have been able to fix us . I woke up for 4 years not recognizing the person in the mirror anymore . I had poured so much into my marriage and felt more empty than ever .",Why has the marriage fallen apart ?,No amount of spiritual guidance or counseling has helped .,None of the above choices .,The person did n't put in work into the marriage .,Someone could n't stand to look in the mirror .,0
30ZKOOGW2YKHJWL8RDOFDGR8PNIA1K##3JJVG1YBEECOD8PDOGWP01KKBY85BZ##A2CMYWI1J292YJ##Blog_678991##q1_a2##36BTXXLZ2XMQAC48G6T364NL1K84R9,"Last night I dreamed that I was in the bath with George . We do this all the time in real life , but in the dream something very weird happened . My consciousness sort of split into two , and the main part of it moved into George 's body . I was sitting there looking out of George 's eyes , and I could see myself sitting at the other end of the bath , but in a strange sort of way I was also still in my own body and able to control it . Unsurprisingly , the first thing that came to my attention was that I suddenly had an extra ... appendage .",Who is George ?,a man I am sleeping with .,A man whose spirit can travel .,a man who dreams a lot .,None of the above choices .,0
3CVDZS288JE9BCO5VFT5B9Q2KOMMFX##32RIADZISVJ5YB2FLXZALYO6GXN4SX##A29RROPO0Z90XV##Blog_1478075##q1_a1##36JW4WBR08YNJYNU4IDSJ4I74H1HFU,"And that included themselves . If nothing was said it could never be wrong , and by not expressing verbal insecurities their bodies learned a way of letting each other know what they wanted , needed , craved , feared ... getting along in silence was a bond that would live with them forever , but tonight forever was too strong a word for two carefree , curious and close friends . John moved and broke the hug .",Why did John break the hug ?,He did n't want to touch him .,He did n't like him all that much .,He was about to go in for a kiss .,None of the above choices .,2
3VDVA3ILIFTITNYBDDGP922BNNQ1GS##3PH3VY7DJOCE8P7DQVZ1CJ40MDOZW0##AJ7NSZOAFP05U##Blog_47190##q1_a1##3T8DUCXY0PK4NXNC1QUPNRZJBYOT9E,"The bridge is 140 m long and 70 m high . It can support over 1300 people ! We learned about the pioneer history of the area , took pictures with the totem poles , spoke with Aboriginal artists and then walked across the bridge .",What might happen during your visit to that area ?,None of the above choices .,We would interact with people of the arts .,We would check out some of the people in the area .,We would interact with the people who made the totem poles .,1
3AC6MFV69MWTOFEU5U7ZMWYOEJJHZW##3N8OEVH1FU5U4CK4X0XAFRKAVZOOOT##A2KYOM2ZGYDJGT##Blog_376376##q1_a2##3SZYX62S5IEYOCOTLXE76F2Z0XT75O,"Join me in trying your hand at bread baking , any loaf will do . Ca n't you just smell that wonderful aroma ? I can hear the crackling of the loaf as its crust sets as I pull it out of the oven . Once when a maintenance worker was working outside my apartment window , I received a knock on the door . When I opened the door , the man was standing there , hat in hand , and he asked me what I was doing -- he had n't smelled anything like what was coming from my window since he was a child .",Why might someone try their hand at bread baking ?,None of the above choices .,It attracts men with hats to the front door .,It results in fresh bread .,They 'll want to pull something out of the oven .,2
35YHTYFL1IHS1ZIE97UWY59FBJ1VFU##3VP0C6EFSJBGF3TOKOW36N9EK0P6MO##A33PQXKQHFVF3V##Blog_963091##q1_a1##3AXFSPQOYSCJA4IKSIGDVHYMH9HFJ9,So I paypaled him $ 100 for 2 tickets to the swimming event . Cause I heard there 's this really good male Americian swimmer participating . He said the tickets were in the mail but I waited and waited for like 6 weeks and no tickets . I asked him for tracking on them after 6 weeks and he wo n't respond to my PMs !,Why is n't he responding to me about the tickets ?,He needs to refund me but is trying to get the money .,It was likely a scam and he took my money .,None of the above choices .,He is probably just busy with other people 's tickets .,1
3QHITW7OYQN5005PCSEUEHZGX2RQAI##3G5W44VEUAXNM8IRBPS931UZO9GGKD##A1S1K7134S2VUC##Blog_1489247##q1_a1##3WYZV0QBFLRUS7BT4K9I30FFCUTXBP,"If I ' m not happy with me , how can anyone else be happy with me ? I start my next weight loss attempt tomorrow . I should have done it today , but I wanted some ice cream . So I start tomorrow .",Has any of the weight loss attempts previous to this one succeeded ?,"There was never any ice cream in the past , so they all worked .","None have succeeded , this person needs to concentrate on healthy life style .",This person is happy to be able to loose weight at any time .,"Every diet resulted in the loss of some weight , so all were successful .",1
3TZ0XG8CBUI6VOWHEU7U4XFO42Z98N##3OE22WJIGJMD74IAO2PNB4JQO83QU8##A2KYOM2ZGYDJGT##Blog_497291##q1_a1##3Q7TKIAPOVOS7ASO4XX0NW8S8WGLDZ,"Inter Milan coach Jose Mourinho is thrilled with their capture of ex - Porto winger Ricardo Quaresma . "" I wanted Ricardo for ages but it only just became possible , "" the Special One asserted . "" When I arrived at Inter I wanted three players - Amantino Mancini , Quaresma and Frank Lampard .",Why did the coach want Ricardo for ages ?,Because when he arrived at Inter he wanted three players .,Because it only just became possible .,Because the coach is the special one .,Because Ricardo is a good player .,3
3WJGKMRWVKNZ46YIRK41KDI5EHKDCH##3SNVL38CI77A5W2M93WQDA9KPICKCW##A2KYOM2ZGYDJGT##Blog_165409##q1_a1##36U4VBVNQQRPRAYNVCKLJ8LF0WAURY,"Now we have analysis regarding Micelle Obama 's Democrat Convention sppech that provides the Marxist basis to the Obama ideology : Michelle Obama has delivered some rousing statements at the Democratic National Convention , where delegates are expected later this week to nominate her husband , Illinois Sen. Barack Obama , to be president . But a blogger is pointing out that the statements appear to have been drawn from "" Rules for Radicals , "" a book by dedicated socialist Saul Alinsky . "" What to make of Michelle Obama 's use [ of ] the terms , ' The world as it is ' and ' The world as it should be ? ' "" wrote the Gateway Pundit today .",Why is the writer implying Michele Obama 's statements   appear to have been drawn from a book by a dedicated socialist ?,Because the analysis is regarding Michele Obama 's Democratic Convention speech .,Because the writer is trying to paint the Obamas as socialists .,Because the writer has analysis .,Because Michele Obama delivered some rousing statements .,1
3JVP4ZJHDR6WIPJO7ICSG9WHXZI0I4##3DYGAII7PONFAO9LRD2TTWK0N9NQPG##A33PQXKQHFVF3V##Blog_187835##q1_a1##3JU8CV4BRNQ92SYBMY4NF7TBHS4OPT,"Still not knowing exactly what is going on and hope tomorrow we get to hear something , the hospital wo n't say any thing . This is after his second chemo treatment that they doubled from three treats in a row to two treatments and is very strong medicine of two kinds he 's on . Was told that the chemo not only kills the bad cells but also along with the good . So we are waiting to hear more of what 's going on and what 's to be expected , so frustrating for Syd and I. I fact I was doing so well I thought till last night and this morning after talking to Syd I just had to have a good delayed cry .",What is going on   with this person ?,Syd just does n't understand why this is happening .,They are really sick but will probably be fine .,None of the above choices .,They have cancer and are undergoing treatment .,3
341H3G5YF0C3JQ9RNOOEO6BZ08Y0ZV##3Y54SXRO1MJQZKA256JIG9UD9MXTUZ##AJ7NSZOAFP05U##Blog_857857##q1_a2##3RSBJ6YZEE4XBF9H8V8I3DF7FE6FOQ,"i did a horrible thing!i have wanted to get a haircut for a while but was also very proud of my length . so i decided today to get my top layers trimmed short so rather than parting my hair , they would fall forward . i told my hairdresser this and also wanted to get the sides cut so that my ears would stick out and to layer it into the long layer underneath .",What might have caused you to get a haircut ?,My hair was pretty long .,I wanted my top layers to stop falling forward .,I wanted a new haircut that hides my ears .,My mom felt like I needed one .,0
3S4TINXCC217YYX13TMMKNOM0JUOB3##32Z9ZLUT1OZKCVYHTN2KVIN9NDWHOO##AJ7NSZOAFP05U##Blog_1050540##q1_a1##3T2EL38U0OYHWDDIN268YPAEYUUXQ1,"They are much truer to the colors outside . Enough with the talking , more photos ! You can see how changing the film speed really lets you capture the wings ! Pretty grainy , so I might try to play around with lower speeds the next time I stalk the hummingbirds .",What may have let you capture the wings of the hummingbird in a photo ?,I adjusted my camera .,None of the above choices .,I adjusted my photo taking position .,I played around with them and they calmed down .,0
3ZQX1VYFTD392B0NGJQC1NADZ468OR##3QAVNHZ3EN2I1YOZQS00UH828GALAN##AO33H4GL9KZX9##Blog_832865##q1_a1##3R868ACW4UQFOJJJLOPH1WMN00NGZC,I just told them that the most important part is that you are responsible about it . That we were always taught to respect it and when we were old enough we were taught the proper way to use it . They did n't have much to say about that .,What kind of object might require us to respect it and learn the proper way to use it ?,None of the above choices .,It might be an object that can harm us if used in a proper way like a firearm .,It might be an object that can harm us if used in a wrong way like a firearm .,It might be an object that can kill us if used in a proper   way like a firearm .,2
33NKDW9FFXGY8N4SYMTDMMXP1VAXCX##34MAJL3QP5LMJ5ITBLM9LSSLFZX34J##A2LTOS0AZ3B28A##Blog_1068632##q2_a1##3YLTXLH3DHKZABCOIL9XVYWA5XCPHA,"I took her to her doctor that knows her . He did his exam , and Leah was crying , she had said to me , "" Mommy , why wo n't they go away ? I ' m tired of feeling bad and having them "" . My heart broken , but having to be strong , I said , "" I know honey , me too "" .",Why was mom heart broken ?,She thought she should be able to help the doctor .,The mom could n't do anything for Leah .,None of the above choices .,She was glad that Leah was sick .,1
3S1WOPCJFGRCA1JHD9K7L1PDBM5EJ6##3KB8R4ZV1F57YGFQLF3GC0N0VWEGB7##AJ7NSZOAFP05U##Blog_992769##q1_a1##3QGHA0EA0LEF3763UFDW1H183PMBW3,"I was worried at the time about being mentally unprepared and flunking out , or of being unprepared to juggle all the responsibilities and losing my job , or of something unpredictable happening like my mom dying and not being able to finish what I 'd started . ( I was also afraid I could n't afford it , but getting loans was ridiculously easy . ) None of these things happened , largely because community college is far less challenging than I could possibly have imagined , and so I have an easy success story as my example for taking a risk .",What may have caused you to succeed in community college despite your worries ?,I got loans ridiculously easy .,I was mentally prepared .,My mom took care of my responsibilities so I did n't have to get a job .,The work there was simple .,3
3H5TOKO3D9HIU47H4KE53B8HCRR46K##354GIDR5ZC493P1V9XHO7R41XCR003##A2LTOS0AZ3B28A##Blog_1430446##q1_a1##3BO3NEOQM2VSJ2H6ZK9L5F8U6W2IA7,"Stepping inside , she slightly brushed Casey 's hand and Casey could feel goose bumps appear on her arm . Slowly , she closed the door , closing her eyes while wishing she could just switch of her feelings when it came to Olivia . She turned around and leaned against the door for a moment , watching her stay in front of the couch , looking at it with an uncertainty that was almost comical .",Why is did she get goosebumps when Olivia brushed her arm ?,She is in love with Olivia and has a hard time hiding it .,She thinks Olivia is going to use her .,"She is able to turn her feelings off when it comes to Olivia , but not the goosebumps .",None of the above choices .,0
3VDI8GSXAFRLAYJPS0D4WE1B8U8G8T##3O7L7BFSHFNJ1AX5LU59YK61DBOEIC##AO33H4GL9KZX9##Blog_398848##q1_a1##3AQN9REUTHUC79ZNNCMQH4AOHILDYY,"All along the shoreline are cottonwood trees , which provide shade and great places for brown trout to hide . Because of this , trout in the Colorado River are in abundance . Heading to the Southwestern part of Colorado people will find the Arkansas River , another outstanding location for trout fishing . In fact , the two best times of year to fish this river are in the spring and mid - winter months .",Why might brown trout hide in a shade under the cottonwood trees ?,None of the above choices .,Because the shade provides a cooler place which makes the fish less comfortable .,Because the shade provides a warmer place which makes the fish less comfortable .,Because the shade provides a warmer place which makes the fish more comfortable .,0
3ZURAPD28A1CFN2G2TA7RH2ZKAGF1Z##3RRCEFRB7PR6HPLDABDFV9E65WL4BJ##A394JO4NEPCY3M##Blog_1580490##q1_a1##32PT7WK7DOTBR62ZYRT0RAEB88ED3Y,So today I tried a new recipe and discovered something interesting . I used a recipe I found on Hershey 's website for their dark chocolate chips ( but I used Ghiradelli semi - sweet instead ) . I had enough dough at the end for one cookie with no chips in it .,Why did the narrator look at the Hershey 's website ?,They wanted to make dark chocolate,They wanted to make cookies,They wanted a cookie with no chips,They wanted to make chocolate chips,1
33CLA8O0MKP08S1X0NPMX8KCQ46FRL##3O6CYIULEGGXMQD3K80TVRPLKQPUWC##AO33H4GL9KZX9##Blog_1346991##q1_a1##3QE4DGPGBTPZLMVU0VZR709EZCH4GZ,"Seriously , I ca n't tell if girls actually just enjoy playing around with him while he tries to spray water on them or if they are just going along and having fun with it because girls are not used to beginning conflict and not tolerating what someone is doing . I ' m going to guess some of both . Oh , and this guy has a girlfriend back home who apparently takes care of his every need and is the best girlfriend ever and cute . So I and two girls hanging out with him half - jokingly asked what does she like about you , why is she with you ?",Why might I half jokingly ask him why his girl friend is with him ?,"Because asking a personal question like that is common , unless we make it into a joke .","Because asking a personal question like that is rude , unless we make it into a joke .",None of the above choices .,"Because asking a polite question like that is courteous , unless we make it into a joke .",1
359AP8GAGGI4T8Y1G9PFSNK1Z6IC7C##32Z9ZLUT1MI5H6ZA9QQK3KZ0GIKOH1##A1OPGPTQJ48XOY##Blog_470723##q1_a1##3M93N4X8HM1SE9N6Y2GC2GH05D3SJM,"Sitting in a Saigon streetside cafe you can enjoy steaming noodles , while just down the road , cyclo drivers -- relics of yesteryear -- badger and bark at each other over a game of checkers , only to look up , catch your eye , and break out into that amazing Vietnamese smile . Open to foreign tourists for well over a decade , Vietnam has rapidly developed a well - trodden trail of tourist attractions . In the north , hanoi charms , while the vistas of Ha Long Bay and the hilltribes of Sapa draw tourists in their thousands . In the centre of Vietnam the remnants of the war can still be seen around the DMZ , the Imperial capital of Hue offers a glimpse into yesteryear and the incredibly popular Hoi An attracts shoppers in their droves .",Why do the vietnamese people have such a wonderful smile ?,They are accustomed to seeing tourists in their cities and repay that with a friendly smile in order to be welcoming,They have such a great smile to make up for the language barrier they experience,None of the above choices .,They do not understand the english - speaking tourists and respond by smiling instead,0
3TTPFEFXCTIC6GVCJRYOX0HLHEYH64##33LKR6A5KFIAQNJ43I9Y57PGXXTT18##A1I72NHC21347A##Blog_744732##q2_a1##3SCKNODZ0ZU2E1UZPXAT0W2LRDYN7P,"If you have a chance to check out the Royal Botanic Gardens , I would do so . Without meaning to , we spent practically the entire day there and I do n't think we even covered the entire park . It was on our way to the opera house , and we were able to catch the view of it and the bridge from all angles .",What might happend if we stayed too long at the Royal Botanical Gardens ?,We would go to the Opera House .,We would visit the Opera House .,We would miss the Opera House .,None of the above choices .,2
37MQ8Z1JQEUAAA206PQ9TNVCRCOY2W##3VSOLARPKC7NGBO5SGI0203128893H##AJ7NSZOAFP05U##Blog_1382##q1_a1##3YGE63DINABEJK3TWZG7H05PCGK0WR,"So it 'll be the Contemporary girls versus the Hip Hop guys in the finale . I was pretty surprised about the results for the girls . I thought it was going to be Courtney to go this week , not Chelsie .",What might happen during the music competition 's finale ?,The finale would be filled with girls .,None of the above choices .,There would be a battle between two different gendered groups .,Courtney and Chelie would go against each other in the finale .,2
3FTID4TN8LWGBWO8GV8E8JULXNEYL6##3WJ1OXY92BENMR4GW3RWPCMWPW98AJ##A2KYOM2ZGYDJGT##Blog_1042873##q1_a1##30P8I9JKOKZ0Z2PP3VHNCTI2MKY5VM,"I know a blue suit is sensible but I did n't think I 'd like the way it looks , however I was very happy with the one he did get . It has a reversing pattern in the weave that gives it a stripe that s very subtle . He looks quite handsome in either one .",What 's a possible reason the blue suit is sensible ?,Because the writer was very happy with the one he got .,Because society deems it sensible .,Because it has a reversing pattern in the weave .,Because the writer did n't think they 'd like the way it looks .,1
3L2OEKSTW98LWP4PM6ZA3E8FDLFY8G##3GA6AFUKOPMGVH6OQS6SFH1PMQC3H8##A2KYOM2ZGYDJGT##Blog_1238814##q1_a1##3H5TOKO3DBXXOT6OOIQ5V9WP5T764I,"For once she did n't want to play the bartender or the hostess . She 'd like to be the life of the party , thank you very much . In the spirit of that , tonight she wears a sparkling pink backless dress for Latin dancing , her hair pinned up in a bun . And being the fancy girl that she is , she even hired a live band for the night , to play some good Latin music to dance to . Genesis goes along well with Lili 's idea , showing up in tight black dancing slacks and a loose blood - red ruffled top , showing off a bit of his chest . Ah , how lucky it was to be a SOLDIER for a good physique .",What 's a possible reason she did n't want to play the bartender or hostess ?,Because her hair was pinned up in a bun .,Because she wanted to have fun at the party .,None of the above choices .,Because she had a pink backless dress .,1
3D42WVSDHA995TDJEIHG54D9TMPYF0##3SBEHTYCWQIW24D35ST3XLMQ08YIYW##AO33H4GL9KZX9##Blog_1053057##q1_a1##3ACRLU860PSLM7KC9FJQFBU8WMNEBY,"But i still had wrestling instincts so i made many attempts to shoot . The ref warned my opponent for being to defensive hence we were locked together by 2:30 into the match ... As i went for a shoot my opponent sprawled and i was able to get his head . From there , sprawled and pinned him down and went north south into a back mount . Put my hooks in and scored points .",Why might my opponent have sprawled as I went for a shoot to take him down ?,He might have sprawled because that 's the most common defense against the back mount .,None of the above choices .,He might have sprawled because that 's the least common defense against take downs .,He might have sprawled because that 's the most common defense against take downs .,3
3B6F54KMR2A6P38VOFY66IX6IN41SY##3RYC5T2D74R0R0PEKVFT6O6WDWLRPP##AJ7NSZOAFP05U##Blog_53213##q1_a1##3FDWKV9VCPGYUULVQ4O4X9R5U4KMU1,"And for him , I wld want to try to be the best that I can be , to do things that I know he 'd like , to watch the programs he likes to watch , to noe the things his life is abt ( although computer coding is seriously beyond me ) , to discover the lil bits abt him that makes him him , and makes him mine . And as my knowledge of him , and us , grow with the passage of time , the "" us "" now will grow with time too . And I ' m excited about that .",What may be the reason for you and him being excited ?,I 'm learning more about him .,He 's learning more about me .,None of the above choices .,My knowledge about time is growing .,0
3VIVIU06FMQTL3QVWNZQE63U0GEMIO##3ZWFC4W1UXM3VCZRQPVOMSG1JJHFR8##AJ7NSZOAFP05U##Blog_1047158##q1_a1##3PZDSVZ3J7V5VECGNZCMXKIC131N4L,"I like to take a hour or two to fully wake up and drink my several cups of coffee . I do n't like answering questions or making decisions until I feel that I am fully awake . By 10 AM , I am usually ready to start doing things around the house and get my day started . That is my natural biorhythm .",What may be your reason for waiting until 10 AM to do things ?,I need to get some caffeine in me .,Everyone else wakes up at about 10 .,None of the above choices .,I never fully wake up .,0
3GS542CVJVLN86DFGW0RSD5X2DV59G##33OOO72IVIJUDQT2JFYIM3872SNCTH##AJ7NSZOAFP05U##Blog_1216119##q1_a1##32L724R85NYZ66N8O3RIVAXP5DXPIF,"During the actual part of the concert I let loose . I danced around , played air guitar , did crazy moves that correlated to their lyrics and jumped up and down banging my fist in the air to the beat of the melodies . My heart was so alive and free that I could n't stop smiling .",What might happen when you let loose ?,I would freely move and cheer .,None of the above choices .,I would freely sing along to the melodies .,I would feel a strong urge to bang something with my fist .,0
3P6ENY9P7BA7TPPK5QJDM1VYJGKHIN##3DOCMVPBTQTU46KGV6XKLDK0IJGNNB##A2KYOM2ZGYDJGT##Blog_320075##q1_a1##3MWOYZD5WX29Z7MY6JRVBIOGHD3NOW,"So when I came off the stage , I was dripping . I took my guitar off and looked in the mirror . OH MY ! ! ! I feel like my sweat spots formed a picture ! ! !",What 's a possible reason the writer was dripping ?,They were sweating because of the high energy they put into the performance .,They took their guitar off .,The sweat spots formed a picture .,They came off the stage .,0
3GKAWYFRAPR3468FCRE7CFT4K1GDP2##3PDJHANYK6EFS0T69U4QMKD9VSN6HB##AJ7NSZOAFP05U##Blog_1116475##q1_a1##391FPZIE4E0C2GKKZ78R54J9DJZUHG,"In the dream , I was spending the night at my aunts house and I slept on the couch in the living room . The couch was in the big window and it was facing the street . Kinda like a window display at a store . So all of these guys were walking by and making comments and yelling at me .",What may have happened during your dream ?,I was in the home of a relative .,I was at my aunt 's store .,None of the above choices .,I was leaving the home of a relative .,0
33N1S8XHHOZIK4TG354EU9IHY22Z1B##3VW6495TLMFIS4S89AF6J9GEQE1YYX##A1OPGPTQJ48XOY##Blog_1241571##q1_a1##33W1NHWFYJZJTO5P5OOO0F1CQZMZT5,And then God bless the head server who came and chatted with me even though he was not confidant in his English . We even exchanged some German phrases . funny ... since I understand and speak more Spanish than German . But ...,Why did the head server go over to talk to you ?,"He wanted to chat me up so he could ask me out , he clearly was interested in me",None of the above choices .,He wanted to be friendly and welcoming to us and did his best to do so to leave a good impression,He wanted to get a big tip and knew by being friendly we 'd be more likely to leave a nice tip,2
3GS542CVJVLN86DFGW0RSD5X2DV59G##33OOO72IVIJUDQT2JFYIM3872SNCTH##AJ7NSZOAFP05U##Blog_1216119##q1_a2##3G4VVJO6P1UQC1DWO6CU8QC2XHMPKQ,"During the actual part of the concert I let loose . I danced around , played air guitar , did crazy moves that correlated to their lyrics and jumped up and down banging my fist in the air to the beat of the melodies . My heart was so alive and free that I could n't stop smiling .",What might happen when you let loose ?,None of the above choices .,I would freely sing along to the melodies .,I would feel a strong urge to bang something with my fist .,I would stop my friend from playing the air guitar at the concert .,0
